ProductID,Demand,Margin,COGS,Capacity,OptimalSurplus
P0,5702.0,167.676110754506,36.5,0.15,855.2999997700086
P1,58512.0,180.1802919524478,36.9,0.15,8776.665196056152
P2,12332.0,120.7451532842032,28.7,1.0,11910.585187720451
P3,8493.0,95.47196550495823,43.5,0.15,1273.9499363745647
P4,68762.0,245.1112338519388,46.8,1.0,15337.247663549339
P5,6418.0,226.114222643098,39.1,1.0,6043.635199783475
P6,11438.0,87.98118602282328,45.5,1.0,4083.137611294808
P7,67309.0,209.6473906150528,32.7,0.15,10096.349753319038
P8,78174.0,151.7599876422161,51.5,0.15,11726.099999966718
P9,49381.0,176.4094966998833,36.0,1.0,21698.14255115025
P10,10009.0,204.8343365528102,41.1,1.0,4368.265422147022
P11,468.0,150.3217767842061,51.0,1.0,115.9381234219539
P12,22115.0,51.64515063552788,31.1,0.0,0.0
P13,86460.0,183.0287839644855,42.1,1.0,22802.369605242242
P14,276.0,257.6252645731133,43.9,0.15,24.417622744651716
P15,40721.0,290.4518454151577,40.8,1.0,18262.742440320464
P16,50171.0,262.2932254937373,49.5,1.0,4436.1476037881
P17,25128.0,109.5589883635058,55.7,1.0,9.013322064671975
P18,69869.0,238.1146619720815,32.9,0.15,10480.349886988686
P19,18154.0,137.7781967742805,43.5,0.15,14.40730427755385
P20,99596.0,213.9266525705732,44.9,0.15,3831.2002410420755
P21,66276.0,116.4863388935543,35.6,1.0,9014.312363410143
P22,47347.0,41.27708536112112,37.8,0.15,0.006537271195127868
P23,33613.0,190.2297902710968,49.8,0.15,5041.94999868401
P24,34919.0,184.464875685995,37.2,0.15,1917.4324924713142
P25,61643.0,191.3746243442818,36.1,0.15,9246.44942250963
P26,82514.0,73.86920074861527,51.4,1.0,16.958784891811323
P27,44077.0,186.6089137944466,38.3,0.15,6611.549989321845
P28,63985.0,137.3428273110042,39.6,0.15,9577.46010545993
P29,57055.0,213.8138398185014,43.8,1.0,22402.01474691871
P30,57074.0,68.12578750123983,56.1,0.0,0.0
P31,49797.0,226.43916241749,44.7,0.0,0.0
P32,81197.0,252.5441497382666,47.9,1.0,79885.48939156851
P33,81854.0,75.73435935865749,49.3,0.15,13.711910759492843
P34,10816.0,279.3328638542139,40.4,0.15,1622.3999989964211
P35,17950.0,131.9304705235579,36.3,1.0,10212.675474397736
P36,6973.0,199.695966003223,48.8,0.0,0.0
P37,79404.0,225.0454996508261,42.7,0.15,11910.599999662747
P38,68818.0,109.6876539150401,34.6,0.15,10322.699110533495
P39,22962.0,100.9728290391834,37.8,1.0,15948.256347922535
P40,2726.0,136.289488277371,43.8,0.0,0.0
P41,5440.0,239.4223565912289,41.9,1.0,5229.585150150295
P42,82182.0,61.71726935557189,40.9,1.0,94.89401331473594
P43,47719.0,193.85874374029,44.2,1.0,13599.926193202775
P44,85247.0,143.9599880861988,51.2,0.15,12787.04854841173
P45,11090.0,67.01354674555067,38.9,0.0,0.0
P46,29270.0,63.62566248424945,39.2,0.15,65.5829964182583
P47,12733.0,76.02059061217645,30.9,0.15,79.45783044539252
P48,1086.0,232.4850436375135,45.8,0.15,47.461816698761794
P49,16937.0,190.9091053165529,44.8,0.15,2540.549998741733
P50,96900.0,290.2254170589761,48.4,0.15,306.27173706105
P51,84514.0,195.7696306564763,51.7,1.0,34863.90413194632
P52,88486.0,253.2459797351315,50.5,1.0,87882.12622213062
P53,12418.0,154.3383586148979,39.6,1.0,5559.516784938908
P54,71146.0,240.1678110288029,44.8,0.15,10671.899989033427
P55,58628.0,235.4708280573356,48.6,0.15,94.97936661961137
P56,79920.0,153.5480835110024,45.9,0.15,11987.999598764
P57,62971.0,95.04195516593408,39.8,0.15,0.7831471618652416
P58,54701.0,123.1125912398937,46.6,0.15,8205.149923222985
P59,92276.0,102.5191078282186,46.5,0.15,5095.506568023438
P60,93352.0,192.6148924151466,46.3,1.0,81148.73134958795
P61,9143.0,194.7320298049726,43.7,0.15,1350.577813798695
P62,57017.0,219.8813760632628,43.3,1.0,34221.35043666754
P63,33801.0,268.6014368149132,36.0,1.0,15073.253625423757
P64,64903.0,184.5436488046924,52.4,0.15,9735.405014359505
P65,82995.0,271.4368433666997,44.4,1.0,8256.473541897414
P66,45405.0,257.9483474574351,31.4,1.0,26841.63269663315
P67,38256.0,61.63020516262942,47.3,1.0,22.591935195573356
P68,62644.0,147.5479411091153,48.9,1.0,149.3206009165405
P69,5795.0,122.2726447015674,21.4,0.0,0.0
P70,64094.0,74.19644284305014,36.6,0.15,0.001435312509178338
P71,31020.0,72.16581382284244,50.6,0.15,0.018293369053841324
P72,56790.0,87.80920463020374,47.2,0.15,0.0034127499891115467
P73,87853.0,93.90229525233931,39.9,1.0,47462.476594009044
P74,58893.0,105.311252635291,40.5,1.0,11.834144251215376
P75,16930.0,88.6923202955328,37.2,0.15,0.024024275276401757
P76,29463.0,270.9551907800329,52.3,1.0,60.262496670428746
P77,80799.0,152.911111177073,50.0,1.0,56903.10932402935
P78,4661.0,39.6221483244363,28.1,1.0,0.0028293683820377314
P79,11049.0,282.4954348277138,32.6,0.15,1657.3499999466442
P80,40188.0,63.64342509864336,37.5,1.0,2160.3215831356265
P81,70558.0,92.83978104004387,25.4,0.0,0.0
P82,12909.0,65.87853658199131,35.0,1.0,9791.598326381338
P83,59934.0,146.7867423526215,41.4,0.15,8990.099912455915
P84,8776.0,188.4174525363854,47.6,0.15,1290.0061913103154
P85,67842.0,92.72410321091468,52.1,1.0,35006.98472462082
P86,58061.0,57.82452853240284,58.9,0.15,0.00784046569181733
P87,66355.0,74.93006914743188,48.5,0.15,4.819765429985866
P88,42616.0,45.01157945994674,50.9,1.0,0.01167172857345373
P89,57736.0,184.1052896945026,30.9,0.15,8660.399999960786
P90,89324.0,234.7479101260304,50.6,1.0,46923.02967340137
P91,23088.0,109.3996003468971,43.6,1.0,1146.9008498471321
P92,5037.0,147.724282121514,47.5,0.15,755.5499673346304
P93,18218.0,195.1987547656445,51.3,1.0,4707.908546998753
P94,67360.0,216.8598687645051,28.8,1.0,28347.48215710803
P95,84026.0,183.7805719588142,51.0,1.0,0.22585234504007948
P96,25698.0,152.7697464406876,40.6,1.0,10741.843930542505
P97,15833.0,202.6856446082822,44.5,0.15,2374.9499129885075
P98,60023.0,286.8683617209867,51.6,0.15,9003.449999437426
P99,2954.0,208.9486745843119,39.5,0.0,0.0
P100,56315.0,135.2552975436791,24.3,0.15,8426.929505234635
P101,1570.0,102.9848514052628,41.3,0.15,163.404108678515
P102,2136.0,174.9856540139064,48.7,1.0,128.5226475543547
P103,34140.0,91.87448842243228,45.6,0.15,4944.200166395037
P104,66926.0,109.9691379622095,42.0,1.0,6482.3444506872165
P105,25869.0,90.26368813084602,48.4,0.15,188.8632002371233
P106,80764.0,209.3827254936251,41.9,1.0,80763.9997859256
P107,38492.0,120.9196685673224,47.2,0.15,2.0568848019619623
P108,92822.0,97.42517884363085,38.4,1.0,0.0008609057919967757
P109,3676.0,269.3307209695247,37.3,0.0,0.0
P110,61572.0,254.6364745666875,41.5,1.0,13651.860152048464
P111,34098.0,183.2733689950946,29.9,0.15,5114.699987408542
P112,43332.0,154.9150696612255,39.1,1.0,19699.6184979903
P113,54509.0,172.6938161208927,43.1,0.15,982.0794889168229
P114,9256.0,153.3725391459031,47.2,1.0,6722.924441523257
P115,98678.0,205.7271328023646,41.9,1.0,98677.99139660723
P116,70468.0,75.45959536536918,31.9,1.0,9.936472450534994
P117,49485.0,135.7216764128761,51.0,1.0,2297.9519931124305
P118,30873.0,126.2867648116141,50.5,0.15,1045.549355569461
P119,39907.0,106.8160221416946,33.9,1.0,17342.122457407626
P120,60843.0,122.1790275371304,39.2,0.15,9126.449659387823
P121,97143.0,84.81835523398193,41.9,0.15,14555.992294379394
P122,71147.0,120.8720050671942,33.7,1.0,30959.544289559803
P123,89426.0,185.5667769105263,36.2,1.0,65556.07810886396
P124,4680.0,194.7094352553455,49.7,0.15,701.999966713389
P125,15085.0,217.8421305653379,38.7,0.15,847.420151810431
P126,67431.0,203.7339588712276,37.4,0.15,10114.64998986486
P127,62446.0,206.8422273451137,48.9,1.0,61391.952223194836
P128,25458.0,283.78157000588,37.3,1.0,2551.4140435447243
P129,41835.0,132.9748972635847,51.0,0.15,6257.931483288772
P130,24769.0,89.13038247807744,35.8,0.15,3686.0006764566097
P131,78360.0,212.1373168529962,29.7,0.15,11753.999999344616
P132,1042.0,95.25130548767497,37.5,1.0,270.0870935926528
P133,43044.0,96.71898070854141,50.6,0.0,0.0
P134,20268.0,265.5636486189928,41.4,0.0,0.0
P135,94482.0,274.526328937252,43.7,0.15,14172.299999609899
P136,38884.0,177.5865375540871,29.5,1.0,2535.238800558297
P137,69245.0,275.0095714817487,29.8,1.0,69240.04998800394
P138,60562.0,58.34526786493228,36.4,0.15,0.11530289535315515
P139,70058.0,259.4431349347071,48.7,1.0,46399.48199199305
P140,30648.0,49.36891025555325,38.9,1.0,0.002460897418157232
P141,44702.0,63.30746423944146,58.6,0.15,0.00021343708461706064
P142,40823.0,122.1533732441508,52.5,1.0,1511.702229697168
P143,46287.0,280.7774846589911,25.2,0.15,6943.049999979009
P144,57944.0,285.9578203912559,25.3,0.0,0.0
P145,82930.0,174.9018378557591,43.6,1.0,32291.437592839393
P146,89185.0,217.2081411258573,45.6,0.15,13377.749998617131
P147,47212.0,256.915185847527,49.7,0.15,7081.799999858239
P148,71560.0,161.6241997231542,40.7,0.15,10732.811078800272
P149,57099.0,225.1204480186248,32.9,1.0,57098.99938787675
P150,66395.0,220.5996456207784,46.2,1.0,9983.470503939807
P151,45791.0,148.8253635705594,40.8,1.0,41457.099176438365
P152,30552.0,97.6876441694441,46.8,0.15,4158.6202058627105
P153,5088.0,113.0499573561518,39.6,1.0,1921.0887402582325
P154,11159.0,114.9525915332607,26.3,1.0,1929.2167605419133
P155,92269.0,118.5764002944024,36.7,0.15,13636.13146538854
P156,66135.0,264.2135888773505,35.6,0.15,9920.24999877455
P157,53009.0,258.8855481784238,38.1,0.0,0.0
P158,86682.0,279.6494783221744,29.8,1.0,43414.808624064965
P159,21124.0,185.7774282618205,37.4,0.15,3156.85268227098
P160,73729.0,49.77021578061246,40.1,0.15,8.140391094573909
P161,53587.0,187.5453785212826,36.8,1.0,23198.97284582928
P162,23088.0,137.8096405897288,46.8,0.15,3463.1999999311697
P163,70312.0,76.84623586561335,41.3,1.0,1051.8915338561594
P164,29114.0,110.8195587285189,39.6,1.0,23077.632985115833
P165,37922.0,182.5526319917626,42.6,1.0,37745.160539857505
P166,77410.0,213.3633106791008,36.0,0.15,11611.499999981574
P167,32172.0,199.0440350919916,44.3,1.0,12654.973689994671
P168,77146.0,193.5548820910034,49.1,0.15,11570.90711345186
P169,49151.0,208.3958842978861,50.1,0.15,7372.634583209681
P170,67089.0,72.35248092265041,41.9,0.0,0.0
P171,25225.0,251.148956338175,40.6,0.15,3783.7499988114914
P172,7402.0,140.5113732668244,51.0,0.15,1110.2999992160794
P173,33756.0,271.4176487028669,41.9,0.15,5063.399878848823
P174,34424.0,125.8534351316152,53.8,1.0,19508.44660482718
P175,11265.0,211.1607601271284,38.3,1.0,4049.208618656371
P176,55305.0,91.38657307984221,41.2,1.0,9757.344532641599
P177,9640.0,65.068557696937,35.6,0.15,0.004902079645221443
P178,38210.0,67.76575644650181,45.4,0.0,0.0
P179,91122.0,172.6553063850195,47.8,1.0,9210.284645651811
P180,49938.0,247.5220921799277,50.8,0.15,7490.626208529679
P181,59350.0,228.2944452224286,34.9,1.0,45641.10553535793
P182,88445.0,168.1638343216227,34.8,1.0,38830.9316964081
P183,74541.0,42.12876460013754,50.5,0.15,2340.134935017812
P184,67385.0,68.6069242259568,46.0,0.0,0.0
P185,20062.0,288.5593421580146,39.5,1.0,8531.062181616811
P186,32525.0,51.12302727969018,56.1,1.0,0.0022943419074136105
P187,26942.0,204.9384610909196,34.9,0.15,4041.2409544197094
P188,82221.0,218.3080719314326,46.3,0.15,12331.672178111574
P189,8331.0,90.68041969437836,53.2,0.15,0.0011005045001596125
P190,15229.0,121.1786442237809,50.8,0.15,1931.8810536755004
P191,94947.0,156.6995806236567,48.4,1.0,52.3527048155267
P192,35230.0,272.4433272040623,48.3,1.0,21225.72145202179
P193,26125.0,121.9455936041985,39.3,0.15,3918.7499989207
P194,95148.0,63.23893352028165,26.8,1.0,9.558927892362563
P195,4490.0,164.5351168995219,48.1,1.0,4047.2270179720144
P196,14054.0,279.0051799583471,50.0,0.0,0.0
P197,88921.0,270.9798008067812,50.9,1.0,18579.05058375909
P198,19079.0,131.232399984443,45.9,0.15,2861.8499993489518
P199,93143.0,171.5125673216191,43.7,0.15,13971.449999590528
P200,41121.0,145.3149328405362,35.8,0.15,6168.1488953410435
P201,5591.0,85.71374219763734,50.7,0.15,0.03006833945358332
P202,42292.0,127.8971390725314,41.5,1.0,16003.967868159487
P203,51111.0,168.8706701390764,48.5,0.15,7666.42773164402
P204,41641.0,244.9781866042515,46.9,0.15,6246.149998017075
P205,33669.0,206.4147364657556,36.3,0.15,5050.349999306088
P206,90404.0,87.09371824663593,41.2,1.0,3.7513082837302644e-06
P207,3900.0,46.62784719205979,40.5,1.0,0.3152565941403944
P208,5906.0,212.7120333452231,40.8,1.0,4072.1736128060816
P209,48760.0,162.5963150924925,31.2,1.0,42785.85287945738
P210,50864.0,263.4201153252685,36.6,1.0,47041.662036628135
P211,35945.0,233.0551795555958,40.0,1.0,35808.22354102739
P212,94055.0,167.2820943428824,53.0,1.0,0.1449255182539931
P213,92260.0,41.43040739054084,39.1,0.15,3.234421404207035e-05
P214,50139.0,249.8033208750875,50.4,1.0,14703.110983595367
P215,83255.0,156.663328761562,41.9,0.15,10.88601426042367
P216,56318.0,217.1676899427899,45.7,0.15,8447.5234592927
P217,84925.0,205.8307626191238,36.9,1.0,52507.86642434068
P218,9139.0,136.3967635663182,37.5,0.15,1256.8706053973235
P219,46440.0,287.2387008912896,24.9,1.0,46419.511835612204
P220,88271.0,111.4938544560151,37.9,1.0,12581.008664860781
P221,30854.0,270.2679161802827,47.8,1.0,11229.790754461676
P222,44288.0,100.4793505493467,40.2,1.0,20919.450982095797
P223,41586.0,82.07567006779121,46.4,0.15,6237.893817219481
P224,63345.0,216.8892596143188,42.8,0.15,9501.74999960931
P225,84286.0,91.65248697078252,50.7,1.0,0.47387620859156493
P226,9109.0,265.1230703700489,47.2,1.0,8592.101093667834
P227,40892.0,227.2351009363637,38.9,0.15,6133.084300383489
P228,21964.0,80.70875505993439,47.2,0.0,0.0
P229,81629.0,274.3251158736821,35.0,1.0,77949.87162777178
P230,89651.0,265.4046473698813,47.2,1.0,178.34172678175898
P231,10372.0,96.19789345954426,45.1,0.15,479.2097624135354
P232,28549.0,247.4578075313789,50.7,1.0,2231.7825468059173
P233,52665.0,199.0850166234104,42.4,0.15,7899.749999968948
P234,75194.0,58.66950732775429,51.9,1.0,0.8465898666606122
P235,86233.0,186.9942375856961,51.4,0.15,754.584450586191
P236,5907.0,92.42380177704248,46.0,1.0,228.51271133699902
P237,43964.0,166.1994430553578,45.8,1.0,23111.48402696055
P238,25427.0,250.31401249486,45.1,0.15,3804.717114237564
P239,89170.0,232.8385997109818,35.3,0.15,13375.499998860641
P240,82929.0,257.58867414532,38.7,0.15,12439.3499988128
P241,66796.0,107.3105032454532,40.7,1.0,0.0032287061552176673
P242,29253.0,123.9803240543975,56.5,0.15,1.0080650401001168
P243,10326.0,95.25639457024059,53.4,0.15,0.007389285185910082
P244,28783.0,285.8338281657922,36.6,1.0,13470.987742827172
P245,18123.0,63.99930721316454,39.4,0.15,37.60944157437419
P246,51784.0,74.37870554843238,44.6,0.15,0.03771172343605025
P247,76284.0,116.4521420681118,48.9,1.0,45900.49527818774
P248,54071.0,161.1571391706229,54.8,1.0,17.837343117043346
P249,18799.0,237.1990468508105,27.8,1.0,4597.661858460236
P250,9644.0,106.9952169170384,31.7,0.0,0.0
