Demand,DemandVarGroup,Margin,COGS,Capacity,Substitutability group,ProductID,c,d,loc,scale,OptimalSurplus
5702.0,3,167.676110754506,36.5,0.15,0,P0,4,2,0,2,105.37475026996044
58512.0,2,180.1802919524478,36.9,0.15,0,P1,3,4,0,2,211.47322700500646
12332.0,3,120.7451532842032,28.7,10.0,0,P2,4,2,0,2,5930.182851938722
8493.0,3,95.47196550495823,43.5,0.15,0,P3,4,2,0,2,110.98203768839468
68762.0,4,245.1112338519388,46.8,10.0,0,P4,3,2,0,1,51657.545754865125
6418.0,0,226.114222643098,39.1,10.0,0,P5,2,25,0,7,1137.845013769187
11438.0,3,87.98118602282328,45.5,10.0,1,P6,4,2,0,2,21428.662473493347
67309.0,1,209.6473906150528,32.7,0.15,1,P7,2,4,0,2,4759.4496597815605
78174.0,3,151.7599876422161,51.5,0.15,2,P8,4,2,0,2,6012.9562543169095
49381.0,2,176.4094966998833,36.0,10.0,2,P9,3,4,0,2,52173.83484215635
10009.0,5,204.8343365528102,41.1,10.0,2,P10,9,1,-1,2,20270.68973579563
468.0,5,150.3217767842061,51.0,10.0,2,P11,9,1,-1,2,649.9258268243115
22115.0,1,51.64515063552788,31.1,0.0,2,P12,2,4,0,2,0.0
86460.0,5,183.0287839644855,42.1,10.0,3,P13,9,1,-1,2,65998.90440551183
276.0,4,257.6252645731133,43.9,0.15,3,P14,3,2,0,1,41.4
40721.0,1,290.4518454151577,40.8,10.0,3,P15,2,4,0,2,28934.863083219567
50171.0,4,262.2932254937373,49.5,10.0,3,P16,3,2,0,1,36592.555435384274
25128.0,5,109.5589883635058,55.7,10.0,4,P17,9,1,-1,2,16299.265533240274
69869.0,1,238.1146619720815,32.9,0.15,4,P18,2,4,0,2,234.2901253250201
18154.0,4,137.7781967742805,43.5,0.15,5,P19,3,2,0,1,0.0
99596.0,4,213.9266525705732,44.9,0.15,5,P20,3,2,0,1,0.0
66276.0,1,116.4863388935543,35.6,10.0,6,P21,2,4,0,2,49643.045946666054
47347.0,1,41.27708536112112,37.8,0.15,6,P22,2,4,0,2,189.04206827092602
33613.0,3,190.2297902710968,49.8,0.15,6,P23,4,2,0,2,161.44963351464642
34919.0,4,184.464875685995,37.2,0.15,7,P24,3,2,0,1,164.07346632312922
61643.0,5,191.3746243442818,36.1,0.15,7,P25,9,1,-1,2,217.76359494019746
82514.0,1,73.86920074861527,51.4,10.0,7,P26,2,4,0,2,62801.311387348615
44077.0,5,186.6089137944466,38.3,0.15,7,P27,9,1,-1,2,182.47244094800226
63985.0,1,137.3428273110042,39.6,0.15,8,P28,2,4,0,2,0.0
57055.0,1,213.8138398185014,43.8,10.0,8,P29,2,4,0,2,0.0
57074.0,5,68.12578750123983,56.1,0.0,9,P30,9,1,-1,2,0.0
49797.0,1,226.43916241749,44.7,0.0,9,P31,2,4,0,2,0.0
81197.0,3,252.5441497382666,47.9,10.0,9,P32,4,2,0,2,91717.50291002385
81854.0,0,75.73435935865749,49.3,0.15,9,P33,2,25,0,7,12278.1
10816.0,0,279.3328638542139,40.4,0.15,9,P34,2,25,0,7,1622.3999999999999
17950.0,0,131.9304705235579,36.3,10.0,10,P35,2,25,0,7,10482.660696855271
